"LABEL","PLATFORM","TYPE","ENGLISH","AMERICAN","FRENCH","GERMAN","SPANISH","ITALIAN","DANISH","FRENCH CANADIAN","DUTCH","MEXICAN"
"DX_ROBIN_IDONTTHINKMYNEWDAD","All","Subtitle","Robin: I don't think my new dad, Bruce Wayne, would want that.","Robin: I don't think my new dad, Bruce Wayne, would want that.","Robin : Je crois que mon nouveau père, Bruce Wayne, ne serait pas d'accord.","Robin: Ich glaube, Bruce Wayne, mein neuer Vater, würde das nicht wollen.","Robin: No creo que mi nuevo padre, Bruce Wayne, quiera eso.","Robin: Non so se mio padre Bruce Wayne sarebbe d'accordo.","Det tror jeg ikke, min nye far Bruce Wayne ønsker.","Robin : Je crois que mon nouveau père, Bruce Wayne, ne serait pas d'accord.","Robin: Ik denk niet dat mijn nieuwe vader, Bruce Wayne, dat leuk zal vinden.","Robin: No creo que mi nuevo padre, Bruno Díaz, quiera eso."
"DX_ROBIN_IFOUNDASWITCH","All","Subtitle","Robin: I found a switch!","Robin: I found a switch!","Robin : Y'a un interrupteur¬!","Robin: Da ist 'n Schalter!","Robin: ¡Hay un interruptor!","Robin: Un interruttore!","Jeg fandt en kontakt!","Robin : Y'a un interrupteur¬!","Robin: Ik heb een schakelaar gevonden.","Robin: ¡Hay un interruptor!"
"DX_ROBIN_IFYOUREWONDERING","All","Subtitle","Robin: If you're wondering how I managed to hide long pants under shorts then so am I.","Robin: If you're wondering how I managed to hide long pants under shorts then so am I.","Robin : Si tu te demandes comment j'ai fait pour planquer un collant sous un short, moi aussi.","Robin: Wenn du dich fragst, wie ich lange Hosen unter kurzen versteckt hab¬... weiß ich auch nich¬...","Robin: Si te preguntas cómo oculto un pantalón largo bajo los calzoncillos, ya somos dos.","Robin: Se ti chiedi come ho fatto a nascondere i pantaloni lunghi sotto quelli corti, beh... me lo chiedo anch'io.","Du undrer dig nok over, hvordan jeg gemmer lange bukser under mine shorts. Ditto.","Robin : Si tu te demandes comment j'ai fait pour planquer un collant sous un short, moi aussi.","Robin: Je vraagt je vast af hoe ik een lange broek onder een korte broek kon dragen. Ik ook.","Robin: Si te preguntas cómo oculto un calzón largo bajo los shorts, ya somos dos."
"DX_ROBIN_IGETTOGOONANOTHER","All","Subtitle","Robin: I get to go on another superhero mission? Sweet!","Robin: I get to go on another superhero mission? Sweet!","Robin : Encore une mission de super-héros¬? Chouette¬!","Robin: Ich darf noch eine Superhelden-Mission machen? Cool!","Robin: ¿Puedo salir en otra misión de superhéroe? ¡Genial!","Robin: Si parte per un'altra missione da supereroi? Mitico!","Skal jeg ud på en ny superheltemission? Fedt!","Robin : Encore une mission de super-héros¬? Chouette¬!","Robin: Mag ik weer op een superheldenmissie? Gaaf.","Robin: ¿Puedo salir en otra misión de superhéroe? ¡Genial!"
"DX_ROBIN_IGUESSWEDBETTERGET","All","Subtitle","Robin: I guess we'd better get kraken!","Robin: I guess we'd better get kraken!","Robin : Faisons craquer le Kraken¬!","Robin: Dann lassen wir es besser Kraken!","Robin: ¡Será mejor ponerse en serio!","Robin: È meglio se prendiamo Kraken!","Kan man sige, at vi har uhyre travlt?","Robin : Faisons craquer le Kraken¬!","Robin: We zullen hem wel even kraken.","Robin: ¡Mejor que nos pongamos serios!"
"DX_ROBIN_IHAVENOIDEAWHATIM","All","Subtitle","Robin: I have no idea what I'm doing with this but thanks for letting me do it anyway!","Robin: I have no idea what I'm doing with this but thanks for letting me do it anyway!","Robin : Je sais pas ce que j'fais avec ça mais merci de me laisser le faire, en tout cas¬!","Robin: Ich hab keine Ahnung, was ich hier mache, aber trotzdem danke, dass ich's machen darf.","Robin: No tengo ni idea de qué hago con esto, pero ¡gracias por dejarme hacerlo!","Robin: Non ho idea di cosa me ne farò, ma grazie per avermelo fatto fare!","Jeg aner ikke, hvad det skal gøre godt for, men tusind tak alligevel.","Robin : Je sais pas ce que j'fais avec ça mais merci de me laisser le faire, en tout cas¬!","Robin: Ik heb geen idee wat ik hiermee moet doen, maar bedankt voor de kans.","Robin: No tengo ni idea de qué hago con esto, pero ¡gracias por dejarme hacerlo!"
"DX_ROBIN_IHOPETHEYDONTEATIT","All","Subtitle","Robin: I hope they don't eat it.","Robin: I hope they don't eat it.","Robin : J'espère qu'ils la mangeront pas.","Robin: Ich hoff, sie essen nichts davon.","Robin: Espero que no se lo coman.","Robin: Spero che non li mangino.","Bare de ikke spiser det.","Robin : J'espère qu'ils la mangeront pas.","Robin: Hopelijk eten ze ze niet op.","Robin: Espero que no los coman."
"DX_ROBIN_IHOPETHISBRINGSME","All","Subtitle","Robin: I hope this brings me some of the approval I crave.","Robin: I hope this brings me some of the approval I crave.","Robin : J'espère qu'après ça, on reconnaîtra mes mérites...","Robin: Hoffentlich bekomme ich so endlich etwas Anerkennung.","Robin: Espero que esto me valga la aprobación que ansío.","Robin: Forse così riceverò l'approvazione che desidero tanto.","Bare det giver mig den anerkendelse, jeg hungrer efter.","Robin : J'espère qu'après ça, on reconnaîtra mes mérites...","Robin: Hopelijk word ik nu wat meer gewaardeerd.","Robin: Espero que esto me valga la aprobación que ansío."
"DX_ROBIN_IJUSTWANTTOMAKEYOU","All","Subtitle","Robin: I just want to make you proud, pops!","Robin: I just want to make you proud, pops!","Robin : Je veux que tu sois fier de moi, papa¬!","Robin: Ich will dich doch nur stolz machen, Papa!","Robin: ¡Solo quiero que estés orgulloso, papi!","Robin: Voglio solo renderti orgoglioso, papà!","Jeg vil bare gøre dig stolt, Bat-far.","Robin : Je veux que tu sois fier de moi, papa¬!","Robin: Ik wil gewoon dat je trots op me bent, paps.","Robin: ¡Solo quiero que estés orgulloso, papi!"
"DX_ROBIN_IKNOWANIMPORTANT","All","Subtitle","Robin: I know an important item when I see one! This is it, right?","Robin: I know an important item when I see one! This is it, right?","Robin : Je sais reconnaître les trucs importants¬! C'en est un, non¬?","Robin: Ich erkenne ein wichtiges Objekt, wenn ich eins sehe! Das da ist eins, oder?","Robin: ¡Reconozco algo importante cuando lo veo! Es esto, ¿no?","Robin: Riconosco un oggetto importante quando ne vedo uno! Lo è, vero?","Jeg spotter med det samme, når en dims er vigtig! Det er den her, ik'?","Robin : Je sais reconnaître les trucs importants¬! C'en est un, non¬?","Robin: Ik herken een belangrijk voorwerp als ik er eentje zie. En dit is er toch een?","Robin: ¡Reconozco algo importante cuando lo veo! Es esto, ¿no?"
"DX_ROBIN_ILLBEBACKASSOONASI","All","Subtitle","Robin: I'll be back as soon as I can, Bat-dad!","Robin: I'll be back as soon as I can, Bat-dad!","Robin : Je reviens dès que je peux, Bat-papa¬!","Robin: Ich bin zurück, so schnell ich kann, Bat-Dad!","Robin: ¡Volveré en cuanto pueda, batpapi!","Robin: Torno il prima possibile, Bat-papà!","Jeg kommer fluks tilbage, Bat-far!","Robin : Je reviens dès que je peux, Bat-papa¬!","Robin: Ik kom zo snel mogelijk terug, Bat-paps.","Robin: ¡Volveré en cuanto pueda, batipapi!"
"DX_ROBIN_ILLBEWITHYOUEVERY","All","Subtitle","Robin: I'll be with you every step of the way, padre!","Robin: I'll be with you every step of the way, padre!","Robin : Papa, je suivrai le moindre de tes pas¬!","Robin: Ich begleite dich die ganze Zeit, Padre!","Robin: ¡Estaré contigo a cada paso del camino, padre!","Robin: Ti seguirò come un'ombra, papà!","Jeg er med dig hele vejen, Gammel-bat!","Robin : Papa, je suivrai le moindre de tes pas¬!","Robin: Ik volg je tot het einde van de wereld, padre.","Robin: ¡Estaré contigo a cada paso del camino, father!"
"DX_ROBIN_ILLHELP","All","Subtitle","Robin: I'll help!","Robin: I'll help!","Robin : J'vais aider¬!","Robin: Ich helf dir!","Robin: ¡Te ayudaré!","Robin: Ti aiuto!","Jeg hjælper.","Robin : J'vais aider¬!","Robin: Ik help wel.","Robin: ¡Te ayudaré!"
"DX_ROBIN_IMGONNAGOTRYONSOME","All","Subtitle","Robin: I'm gonna go try on some more costumes! Dress-up party!","Robin: I'm gonna go try on some more costumes! Dress-up party!","Robin : J'vais essayer d'autres costumes¬! Soirée déguisée¬!","Robin: Ich werde noch ein paar Kostüme anprobieren. Kostümparty!","Robin: ¡Voy a probarme otros trajes! ¡Fiesta de disfraces!","Robin: Devo provarmi altri costumi! Come a una festa in maschera!","Jeg vil lige prøve nogle flere kostumer. Udklædningsfest!","Robin : J'vais essayer d'autres costumes¬! Soirée déguisée¬!","Robin: Ik ga nog wat outfits passen. Verkleedpartijtje.","Robin: ¡Probaré otros trajes! ¡Fiesta de disfraces!"
"DX_ROBIN_IMGONNAWORKONSOME","All","Subtitle","Robin: I'm gonna work on some more catchphrases tonight...","Robin: I'm gonna work on some more catchphrases tonight...","Robin : J'vais chercher de nouvelles phrases d'accroche ce soir...","Robin: Heute Abend denke ich mir noch ein paar Heilige-Sprüche aus.","Robin: Esta noche trabajaré varias frases lapidarias.","Robin: Stasera lavorerò su altre frasi a effetto...","Jeg vil finde på nogle flere slagord i aften.","Robin : J'vais chercher de nouvelles phrases d'accroche ce soir...","Robin: Ik zal vanavond aan wat meer motto's werken.","Robin: Esta noche voy a pensar unas frases pegajosas."
"DX_ROBIN_IMGUESSINGI","All","Subtitle","Robin: I'm guessing I shouldn't fix that as well, huh?","Robin: I'm guessing I shouldn't fix that as well, huh?","Robin : Je suppose que je dois pas m'occuper de ça non plus¬?","Robin: Das sollte ich dann wohl nicht reparieren, oder?","Robin: Supongo que eso no es para arreglar, ¿no?","Robin: Immagino di non dover sistemare anche quello, eh?","Jeg antager, at jeg ikke også skal fikse den, ik'?","Robin : Je suppose que je dois pas m'occuper de ça non plus¬?","Robin: Dat kan ik zeker beter niet repareren?","Robin: Supongo que eso no es para arreglar, ¿Eh?"
"DX_ROBIN_IMGUESSINGWEHAVETO","All","Subtitle","Robin: I'm guessing we have to time this carefully, too?","Robin: I'm guessing we have to time this carefully, too?","Robin : Il faut encore qu'on calcule bien notre coup, c'est ça¬?","Robin: Hier muss ich wohl auch den richtigen Zeitpunkt abpassen.","Robin: Supongo que también habrá que calcular bien...","Robin: Anche su questo dobbiamo prendere bene il tempo?","Jeg gætter på, at det også skal times helt rigtigt?","Robin : Il faut encore qu'on calcule bien notre coup, c'est ça¬?","Robin: Hier moet onze timing zeker ook foutloos zijn?","Robin: Supongo que también habrá que calcular bien..."
"DX_ROBIN_IMHERE","All","Subtitle","Robin: I'm here!","Robin: I'm here!","Robin : Je suis là¬!","Robin: Ich bin hier!","Robin: ¡Aquí estoy!","Robin: Sono qui!","Jeg er her!","Robin : Je suis là¬!","Robin: Ik ben er al.","Robin: ¡Aquí estoy!"
"DX_ROBIN_IMNOTSUREIFTHISIS","All","Subtitle","Robin: I'm not sure if this is how it was originally put together...","Robin: I'm not sure if this is how it was originally put together...","Robin : Je sais pas s'il était construit comme ça...","Robin: Ich bin nicht sicher, ob er ursprünglich auch so zusammengebaut war¬...","Robin: No estoy seguro de si iba todo así.","Robin: Non sono certo che fosse costruito così, originariamente...","Jeg er ikke helt sikker på, at den er sat rigtigt sammen ...","Robin : Je sais pas s'il était construit comme ça...","Robin: Ik weet niet of het zo hoort te zitten.","Robin: No estoy seguro de si iba todo así."
"DX_ROBIN_IMSORRYDADTWO","All","Subtitle","Robin: I'm sorry, dad two.","Robin: I'm sorry, dad two.","Robin : Désolé, papa 2.","Robin: Tut mir leid, Papa Zwei.","Robin: Lo siento, papá dos.","Robin: Scusa, papà due.","Undskyld, Bat-far.","Robin : Désolé, papa 2.","Robin: Het spijt me, papa-twee.","Robin: Lo siento, papá dos."
"DX_ROBIN_IMTHROUGH","All","Subtitle","Robin: I'm through!","Robin: I'm through!","Robin : Je suis passé¬!","Robin: Ich bin da!","Robin: ¡He pasado!","Robin: Sono passato!","Jeg kom igennem!","Robin : Je suis passé¬!","Robin: Ik ben binnen.","Robin: ¡Ya está!"
"DX_ROBIN_IMTHROUGHILLBEUP","All","Subtitle","Robin: I'm through! I'll be up there as soon as I can!","Robin: I'm through! I'll be up there as soon as I can!","Robin : J'suis passé¬! Je remonte dès que j'pourrai¬!","Robin: Ich bin durch! Ich bin so schnell wie möglich oben!","Robin: ¡He pasado! ¡Estaré arriba lo antes que pueda!","Robin: Sono passato! Arriverò lassù il prima possibile!","Jeg kom igennem! Jeg kravler derop hurtigst muligt!","Robin : J'suis passé¬! Je remonte dès que j'pourrai¬!","Robin: Ik ben erdoorheen. Ik kom er zo snel mogelijk aan.","Robin: ¡Pasé! ¡Estaré arriba lo antes posible!"
"DX_ROBIN_IREALLYHOPETHIS","All","Subtitle","Robin: I really hope this isn't a bird-eating spider...","Robin: I really hope this isn't a bird-eating spider...","Robin : J'espère que c'est pas une araignée insectivore...","Robin: Ich hoffe, diese Spinne hat es nur auf Hobbits abgesehen¬...","Robin: Espero que no sea una araña comepájaros...","Robin: Spero davvero che questo ragno non mangi gli uccelli...","Bare det ikke er en drengespisende edderkop.","Robin : J'espère que c'est pas une araignée insectivore...","Robin: Hopelijk eet die spin geen vogels.","Robin: Espero que no sea una araña comeniños..."
"DX_ROBIN_ISANYONEELSEAMAZED","All","Subtitle","Robin: Is anyone else amazed we haven't crashed yet given that no-one's actually piloting this thing?","Robin: Is anyone else amazed we haven't crashed yet given that no-one's actually piloting this thing?","Robin : Hé¬! Personne ne trouve ça dingue qu'on vole encore alors que personne ne pilote cet engin¬?","Robin: Findet es noch jemand bemerkenswert, dass wir nicht abgestürzt sind, obwohl niemand das Ding fliegt?","Robin: ¿A alguien más le asombra que no nos hayamos estrellado, teniendo en cuenta que nadie está pilotando?","Robin: Non vi stupisce il fatto che non ci siamo ancora schiantati nonostante nessuno stia pilotando quest'affare?","Er jeg den eneste, der er forundret over, at vi ikke er styrtet ned, når vi nu ikke har nogen pilot?","Robin : Hé¬! Personne ne trouve ça dingue qu'on vole encore alors que personne ne pilote cet engin¬?","Robin: Is het niemand opgevallen dat we nog niet zijn neergestort, ook al hebben we niet echt een piloot?","Robin: ¿A alguien más le asombra que no nos hayamos estrellado, teniendo en cuenta que nadie está pilotando?"
"DX_ROBIN_ISHOULDSEEIFTHERE","All","Subtitle","Robin: I should see if there are any other colours I can add to my costume...","Robin: I should see if there are any other colours I can add to my costume...","Robin : Je devrais voir si j'peux ajouter d'autres couleurs à mon costume...","Robin: Ich sollte mal überlegen, ob ich mein Kostüm noch etwas bunter machen kann¬...","Robin: Me gustaría ver si puedo añadir algún color más a mi traje...","Robin: Devo capire se posso aggiungere altri colori al mio costume...","Gad vide, om jeg kan tilføje flere farver til mit kostume.","Robin : Je devrais voir si j'peux ajouter d'autres couleurs à mon costume...","Robin: Ik vraag me af of ik mijn outfit nog meer verschillende kleuren kan geven.","Robin: Me gustaría ver si puedo añadir algún color más a mi traje..."
"DX_ROBIN_ISNTEVERYTHINGYOU","All","Subtitle","Robin: Isn't everything you own named after you?","Robin: Isn't everything you own named after you?","Robin : Et tous tes trucs qui commencent par ''Bat''¬?","Robin: Trägt nicht alles, was du besitzt, deinen Namen?","Robin: ¿No llamas «bat-algo» a todas tus cosas?","Robin: E tu non hai dato il tuo nome a tutto ciò che possiedi?","Navngiver du ikke alt, hvad du ejer, efter dig selv?","Robin : Et tous tes trucs qui commencent par ''Bat''¬?","Robin: Heb jij niet al je organisaties naar jezelf vernoemd?","Robin: ¿No llamas ''bati-algo'' a todas tus cosas?"
"DX_ROBIN_ISTHATACOWLAREYOUA","All","Subtitle","Robin: Is that a cowl? Are you a super hero?","Robin: Is that a cowl? Are you a super hero?","Robin : C'est une capuche¬? Vous êtes un super-héros¬?","Robin: Ist das eine Maske? Bist du ein Superheld?","Robin: ¿Eso es una máscara? ¿Eres un superhéroe?","Robin: È una tunica quella? Sei un supereroe?","Er det en maske? Er du en superhelt?","Robin : C'est une capuche¬? Vous êtes un super-héros¬?","Robin: Draag je nou een muts? Ben jij een superheld?","Robin: ¿Eso es una máscara? ¿Eres un superhéroe?"
"DX_ROBIN_ISTHATTHEATOMIC","All","Subtitle","Robin: Is that the Atomic Cauldron?","Robin: Is that the Atomic Cauldron?","Robin : C'est ça, le Chaudron atomique¬?","Robin: Ist das der Atomofen?","Robin: ¿Eso es el Caldero Atómico?","Robin: Quello è il Calderone Atomico?","Er det der atomkernen?","Robin : C'est ça, le Chaudron atomique¬?","Robin: Is dat de atoomketel?","Robin: ¿Eso es el Caldero Atómico?"
"DX_ROBIN_ISTHISATRAINING","All","Subtitle","Robin: Is this a training exercise, too?","Robin: Is this a training exercise, too?","Robin : C'est encore un exercice d'entraînement¬?","Robin: Ist das auch eine Trainingsübung?","Robin: ¿También son ejercicios de entrenamiento?","Robin: Anche questa è un'esercitazione?","Er det her også en træningsøvelse?","Robin : C'est encore un exercice d'entraînement¬?","Robin: Is dit soms ook een soort training?","Robin: ¿También son ejercicios de entrenamiento?"
"DX_ROBIN_ITAKEITBACKTHATSA","All","Subtitle","Robin: I take it back. That's a weird way to open a truck.","Robin: I take it back. That's a weird way to open a truck.","Robin : Non, pardon. Ça c'est une drôle de manière d'ouvrir un camion.","Robin: Okay, DAS ist 'ne seltsame Art, einen Truck zu öffnen.","Robin: Lo retiro: es un modo extraño de abrir un camión.","Robin: Come non detto. *Quello* è un modo strano di aprire un furgone.","Bare glem det. Dét er en pudsig måde at åbne en varevogn på.","Robin : Non, pardon. Ça c'est une drôle de manière d'ouvrir un camion.","Robin: Toch niet. Dát is een rare manier om een vrachtwagen open te maken.","Robin: Corrijo: ese es un modo extraño de abrir un camión."
"DX_ROBIN_ITHINKTHATSIT","All","Subtitle","Robin: I think that's it!","Robin: I think that's it!","Robin : Je crois que c'est bon¬!","Robin: Ich glaub, das war's!","Robin: ¡Creo que ya está!","Robin: Dovremmo esserci!","Det var vist det.","Robin : Je crois que c'est bon¬!","Robin: Dat is het.","Robin: ¡Creo que ya está!"
"DX_ROBIN_ITHINKTHESHIPNEEDS","All","Subtitle","Robin: I think the ship needs charging up somehow.","Robin: I think the ship needs charging up somehow.","Robin : Je crois que le vaisseau doit être rechargé.","Robin: Ich glaub, wir müssen das Schiff irgendwie aufladen.","Robin: Creo que hay que cargar un poco la nave.","Robin: Dobbiamo caricare la nave in qualche modo.","Jeg tror, at rumskibet skal lades op eller noget.","Robin : Je crois que le vaisseau doit être rechargé.","Robin: Volgens mij moet het schip opgeladen worden.","Robin: Creo que hay que cargar un poco la nave."
"DX_ROBIN_ITLOOKSSO","All","Subtitle","Robin: It looks so complicated, what do we do?","Robin: It looks so complicated, what do we do?","Robin : Ça a l'air compliqué, qu'est-ce qu'on fait¬?","Robin: Das wirkt so kompliziert, was sollen wir tun?","Robin: Parece complicadísimo, ¿qué hacemos?","Robin: Sembra complicato, come facciamo?","Det ser kompliceret ud. Hvad skal vi gøre?","Robin : Ça a l'air compliqué, qu'est-ce qu'on fait¬?","Robin: Het ziet er zo ingewikkeld uit. Wat moet ik doen?","Robin: Parece complicadísimo, ¿qué hacemos?"
"DX_ROBIN_ITSOKAYICANFIXITIF","All","Subtitle","Robin: It's okay, I can fix it. If we can get that panel open...","Robin: It's okay, I can fix it. If we can get that panel open...","Robin : Ça ira, j'peux la réparer. Si on arrive à ouvrir ce panneau...","Robin: Keine Sorge, ich krieg das hin. Wenn wir noch die Luke öffnen¬...","Robin: No pasa nada, puedo arreglarlo. Si abrimos ese panel...","Robin: Posso sistemarla, Se aprissimo quel pannello...","Det er okay - jeg kan godt fikse den. Hvis vi kan få åbnet det panel ...","Robin : Ça ira, j'peux la réparer. Si on arrive à ouvrir ce panneau...","Robin: Geeft niet, ik kan het wel repareren. Als we dat paneel openkrijgen...","Robin: No pasa nada, puedo arreglarlo. Si abrimos ese panel..."
"DX_ROBIN_ITSSHOOTINGATMEITS","All","Subtitle","Robin: It's shooting at me! It's shooting at me!","Robin: It's shooting at me! It's shooting at me!","Robin : Il me tire dessus¬! Il me tire dessus¬!","Robin: Sie schießt auf mich! Sie schießt auf mich!","Robin: ¡Me está disparando! ¡Me está disparando!","Robin: Mi spara addosso! Mi spara addosso!","Den skyder på mig! Den skyder på mig!","Robin : Il me tire dessus¬! Il me tire dessus¬!","Robin: Hij schiet op me. Hij schiet op me.","Robin: ¡Me está disparando! ¡Me está disparando!"
"DX_ROBIN_ITSTOOHIGHHOWDOI","All","Subtitle","Robin: It's too high - how do I get to it? Are you going to throw me?","Robin: It's too high - how do I get to it? Are you going to throw me?","Robin : C'est trop haut... comment faire pour l'atteindre¬? Tu vas me lancer là-haut¬?","Robin: Das ist zu hoch¬... Wie komme ich da ran? ... Wirfst du mich hoch?","Robin: Demasiado alto, ¿cómo llego ahí? ¿Vas a lanzarme?","Robin: È troppo in alto: come faccio ad arrivarci? Pensi di lanciarmi?","Der er for højt. Hvordan kommer jeg derop? Har du tænkt dig at kaste mig?","Robin : C'est trop haut... comment faire pour l'atteindre¬? Tu vas me lancer là-haut¬?","Robin: Het is te hoog. Hoe kom ik daar? Ga je me soms gooien?","Robin: Demasiado alto, ¿cómo llego ahí? ¿Vas a lanzarme?"
"DX_ROBIN_IWASMAINLYMORAL","All","Subtitle","Robin: I was mainly moral support.","Robin: I was mainly moral support.","Robin : C'était pour te soutenir moralement.","Robin: Ich war moralische Unterstützung.","Robin: Te he dado apoyo moral.","Robin: Io ci ho messo un po' di supporto morale.","Jeg var den moralske opbakning.","Robin : C'était pour te soutenir moralement.","Robin: Ik heb je bij elke stap gesteund.","Robin: Te di apoyo moral."
"DX_ROBIN_IWONDERIFITSTOO","All","Subtitle","Robin: I wonder if it's too late to go back to the orphanage?","Robin: I wonder if it's too late to go back to the orphanage?","Robin : Je me demande si j'peux encore rentrer à l'orphelinat...","Robin: Ob es schon zu spät ist, ins Waisenhaus zurückzukehren?","Robin: ¿Será tarde para regresar al orfanato?","Robin: Chissà se è troppo tardi per tornare all'orfanotrofio?","Mon det er for sent bare at tage tilbage til børnehjemmet?","Robin : Je me demande si j'peux encore rentrer à l'orphelinat...","Robin: Zou het te laat zijn om terug te gaan naar het weeshuis?","Robin: ¿Será tarde para regresar al orfanato?"
"DX_ROBIN_LEMMETRYPUSHING","All","Subtitle","Robin: Lemme try pushing this.","Robin: Lemme try pushing this.","Robin : J'vais essayer de pousser ça.","Robin: Ich schieb das dann mal.","Robin: A ver si puedo empujar esto.","Robin: Proviamo a spingere questo.","Jeg prøver at skubbe ...","Robin : J'vais essayer de pousser ça.","Robin: Ik zal hier eens tegenaan duwen.","Robin: A ver si puedo empujar esto."
"DX_ROBIN_LETTERSANDNUMBERS","All","Subtitle","Robin: Letters and numbers! That is secure!","Robin: Letters and numbers! That is secure!","Robin : Des lettres et des chiffres¬! C'est bien sécurisé¬!","Robin: Buchstaben UND Zahlen! Bombensicher!","Robin: ¡Letras y números! ¡Es muy seguro!","Robin: Lettere e numeri! È ben protetto!","Der er bogstaver og tal. Den er i vinkel!","Robin : Des lettres et des chiffres¬! C'est bien sécurisé¬!","Robin: Letters en cijfers. Dat is altijd veilig.","Robin: ¡Letras y números! ¡Es muy seguro!"
"DX_ROBIN_LIKEBECOMEVEGANOR","All","Subtitle","Robin: Like become vegan? Or floss more? Does my breath smell?","Robin: Like become vegan? Or floss more? Does my breath smell?","Robin : J'dois devenir végan¬? Me brosser les dents plus souvent¬? Oh, j'ai mauvaise haleine¬?","Robin: Sehe ich ungesund aus? Sollte ich besser mehr glutenfrei essen?","Robin: ¿Hacerme vegano? ¿Lavarme más los dientes? ¿Me huele el aliento?","Robin: Tipo diventare vegano? O lavarmi di più i denti? Mi puzza l'alito?","Skal vi da til fest? Er det smoking? Er slips påkrævet?","Robin : J'dois devenir végan¬? Me brosser les dents plus souvent¬? Oh, j'ai mauvaise haleine¬?","Robin: Moet ik veganist worden? Of vaker flossen? Stink ik uit mijn mond?","Robin: ¿Hacerme vegano? ¿Lavarme más los dientes? ¿Me huele el aliento?"
"DX_ROBIN_MAYBEICANHELP","All","Subtitle","Robin: Maybe I can help!","Robin: Maybe I can help!","Robin : J'peux peut-être vous aider¬!","Robin: Vielleicht kann ich helfen!","Robin: ¡Quizá pueda ayudar!","Robin: Ti posso aiutare!","Måske kan jeg hjælpe!","Robin : J'peux peut-être vous aider¬!","Robin: Misschien kan ik wel helpen.","Robin: ¡Quizá pueda ayudar!"
"DX_ROBIN_MONSTERS","All","Subtitle","Robin: Monsters!","Robin: Monsters!","Robin : Monstres¬!","Robin: Monster!","Robin: ¡Monstruos!","Robin: Mostri!","Monstre!","Robin : Monstres¬!","Robin: Monsters.","Robin: ¡Monstruos!"
"DX_ROBIN_NNNGH","All","Subtitle","Robin: Nnngh!","Robin: Nnngh!","Robin : Nnnggh¬!","¬","¬","Robin: Nnngh!","¬","Robin : Nnnggh¬!","¬","Robin: ¡Nnngh!"
"DX_ROBIN_NOIDIDFINDABUSTED","All","Subtitle","Robin: No. I did find a busted machine, though.","Robin: No. I did find a busted machine, though.","Robin : Non, mais j'ai trouvé une machine cassée.","Robin: Nein. Ich hab aber eine kaputte Maschine gefunden.","Robin: No, pero encontré una máquina rota.","Robin: No, ma ho trovato una macchina fuori uso.","Nej. Men jeg fandt en ødelagt maskine.","Robin : Non, mais j'ai trouvé une machine cassée.","Robin: Nee, maar ik heb wel een kapotte machine gevonden.","Robin: No, pero encontré una máquina rota."
"DX_ROBIN_NOTREALLYNO","All","Subtitle","Robin: Not really, no.","Robin: Not really, no.","Robin : Je crois pas, non.","Robin: Eher nicht, nee.","Robin: Pues no, la verdad.","Robin: Non penso.","Ikke rigtigt, nej.","Robin : Je crois pas, non.","Robin: Nee, denk het niet.","Robin: Pues la verdad, no."
"DX_ROBIN_OH","All","Subtitle","Robin: Oh!","Robin: Oh!","Robin : Oh¬!","Robin: Oh!","¬","Robin: Oh!","¬","Robin : Oh¬!","¬","Robin: ¡Agrr!"
"DX_ROBIN_OHMYGOSHDOES","All","Subtitle","Robin: Oh my gosh, does Superman have a merch-gun too?","Robin: Oh my gosh, does Superman have a merch-gun too?","Robin : Oh mon dieu, Superman a aussi un canon à fringues¬?","Robin: Oh wow, hat Superman etwa auch eine T-Shirt-Kanone?","Robin: Cielos, ¿Superman también tiene su arma de juguete?","Robin: Oh mio Dio! Anche Superman ha una linea di gadget?","Hvor vildt - har Superman også en logoskyder?","Robin : Oh mon dieu, Superman a aussi un canon à fringues¬?","Robin: O jee, heeft Superman ook een T-shirtgeweer?","Robin: Cielos, ¿Superman también tiene su arma de juguete?"
"DX_ROBIN_OHMYGOSHICAN","All","Subtitle","Robin: Oh my gosh! I can totally use that!","Robin: Oh my gosh! I can totally use that!","Robin : Ça alors¬! J'peux me servir de ça¬!","Robin: Heiliger Bimbam! Das kann ich!","Robin: ¡Oh, cielos! ¡Eso me viene genial!","Robin: Oh cavolo! Posso decisamente usare quello!","Nej, hvor vildt! Det har jeg totalt brug for!","Robin : Ça alors¬! J'peux me servir de ça¬!","Robin: O jee, daar weet ik wel raad mee.","Robin: ¡Oh, cielos! ¡Esto me queda increíble!"
"DX_ROBIN_OHRIGHT","All","Subtitle","Robin: Oh, right!","Robin: Oh, right!","Robin : Oh¬! D'accord¬!","Robin: Oh, klar!","Robin: ¡Ah, vale!","Robin: Oh, d'accordo!","Nåh, ja!","Robin : Oh¬! D'accord¬!","Robin: O, natuurlijk.","Robin: ¡Ah, está bien!"
